Modelo,count
2008,603
208,3
3008,263
4008,26
4RUNNER,8
5008,11
500X,58
ACTYON,3
AGILE,1
AMIGO,2
BLAZER,25
BRONCO,85
BRONCO SPORT,132
C-HR,2
C3,13
C3 AIRCROSS,16
C4,2
C4 AIRCROSS,12
C4 CACTUS,704
C5 AIRCROSS,103
CAPTIVA,203
CAPTUR,419
CAYENNE,61
CHEROKEE,105
CLASE E,1
CLASE GL,2
CLASE GLA,143
CLASE GLB,36
CLASE GLC,136
CLASE GLE,51
CLASE GLK,84
CLASE ML,12
COMMANDER,95
COMPASS,1026
COOPER COUNTRYMAN,7
COROLLA CROSS,518
COUPE,1
CR-V,536
CRETA,88
CROSSFOX,2
DEFENDER,19
DISCOVERY,23
DS3,5
DS7,16
DS7 CROSSBACK,9
DUSTER,1261
DUSTER OROCH,293
E-TRON,4
ECOSPORT,1829
EMGRAND X7 SPORT,14
EQUINOX,175
EVOQUE,52
EXPLORER,18
F-PACE,4
FEROZA,4
FORESTER,48
FREELANDER,21
GALLOPER,11
GRAND BLAZER,1
GRAND CHEROKEE,324
GRAND SANTA FÃ‰,16
GRAND VITARA,75
H1,4
H6,17
HILUX,109
HR-V,473
JIMNY,12
JOLION,2
JOURNEY,272
KANGOO,5
KICKS,57
KOLEOS,130
KONA,11
KUGA,279
LAND CRUISER,82
LX,1
MACAN,30
ML,39
MOHAVE,4
MONTERO,44
MURANO,37
MUSSO,11
MUSTANG,3
MYWAY,11
NATIVA,7
NIVUS,461
NX,9
OUTBACK,24
OUTLANDER,29
PANAMERA,3
PATHFINDER,24
PATRIOT,61
PILOT,10
PULSE,558
Q2,110
Q3,201
Q3 SPORTBACK,38
Q5,346
Q5 SPORTBACK,34
Q7,84
Q8,25
RANGE ROVER,17
RAV4,231
RENEGADE,1375
RODEO,7
S2,3
S5,3
SAMURAI,4
SANDERO,16
SANTA FE,148
SELTOS,15
SERIE 4,9
SORENTO,173
SOUL,46
SPIN,7
SPORTAGE,210
STELVIO,26
SURAN,19
SW4,956
T-CROSS,411
TAOS,896
TERIOS,8
TERRANO II,6
TERRITORY,340
TIGGO,143
TIGGO 2,27
TIGGO 3,80
TIGGO 4,11
TIGGO 4 PRO,36
TIGGO 5,32
TIGGO 8 PRO,12
TIGUAN,176
TIGUAN ALLSPACE,258
TOUAREG,28
TRACKER,1518
TRAILBLAZER,162
TROOPER,15
TUCSON,296
UX,13
VERACRUZ,4
VITARA,56
WRANGLER,113
X-TERRA,55
X-TRAIL,132
X1,211
X2,34
X25,7
X3,122
X35,47
X4,50
X5,126
X55,44
X6,85
X70,18
XC40,26
XC60,37
